2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 92 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 95 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 94 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 93 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 96 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 97 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 95 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 96 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 97 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 98 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 98 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 99 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 100 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 99 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 100 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 101 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 101 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 102 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 103 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 104 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 102 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 103 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 104 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 105 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 106 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 105 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 106 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 107 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 107 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 108 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 109 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 108 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 109 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 110 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 110 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 111 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 112 - Optical Flow
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 111 - Pulando Deep Learning
2025-08-01 09:18:57 | AnomalyDetection | DEBUG    | debug:85 | Frame 112 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 113 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 113 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 114 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 115 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 114 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 115 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 116 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 116 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 117 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 118 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 117 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 118 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 119 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 119 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 120 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 121 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 120 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 122 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 121 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Frame 122 - Pulando Deep Learning
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 123 - Optical Flow
2025-08-01 09:18:58 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 124 - Optical Flow
